IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad,Maniobra,Magnitud
5,342,894.452,4.58055,40.6863,40.6863,0.995824,1,36.3676
5,343,894.452,4.58055,37.459,37.459,1,1,33.155
5,344,894.452,4.58055,41.9599,41.9599,0.994981,1,37.6354
5,345,894.452,4.58055,35.3919,35.3919,1,1,31.0974
5,346,894.452,4.58055,36.5977,36.5977,0.998653,1,32.2976
5,347,894.452,4.58055,37.6721,37.6721,0.998799,1,33.3672
5,348,894.452,4.58055,46.4694,37.6721,0.990213,1,42.1244
5,349,894.452,4.58055,29.1085,29.1085,1,1,24.8425
5,350,894.452,4.58055,30.616,30.616,0.998316,1,26.3432
5,351,894.452,4.58055,22.2779,22.2779,1,1,18.043
5,352,894.452,4.58055,17.3218,17.3218,1,1,13.1095
5,353,894.452,4.58055,19.7547,19.7547,0.997284,1,15.5313
5,354,894.452,4.58055,25.953,25.953,0.993094,1,21.7013
5,355,894.452,4.58055,23.0199,23.0199,1,1,18.7817
5,356,894.452,4.58055,15.0466,15.0466,1,1,10.8446
5,357,894.452,4.58055,9.17639,9.17639,1,1,5.00112
5,358,894.452,4.58055,8.97168,8.97168,1,1,4.79735
5,359,894.452,4.58055,7.04734,7.04734,1,1,2.88176
5,360,894.452,4.58055,7.24567,7.24567,0.999778,1,3.07919
5,361,894.452,4.58055,9.83635,9.83635,0.997108,1,5.65808
5,362,894.452,4.58055,6.68493,6.68493,1,1,2.52101
5,363,894.452,4.58055,16.2533,16.2533,0.98936,1,12.0458
5,364,894.452,4.58055,23.9783,23.9783,0.991401,1,19.7357
5,365,894.452,4.58055,18.7136,18.7136,1,1,14.4949
5,366,894.452,4.58055,27.0487,27.0487,0.990725,1,22.7921
5,367,894.452,4.58055,19.5585,19.5585,1,1,15.336
5,368,894.452,4.58055,14.9057,14.9057,1,1,10.7044
5,369,894.452,4.58055,24.0038,24.0038,0.98988,1,19.761
5,370,894.452,4.58055,20.8638,20.8638,1,1,16.6353
5,371,894.452,4.58055,24.3354,24.3354,0.996126,1,20.0912
5,372,894.452,4.58055,15.6085,15.6085,1,1,11.4039
5,373,894.452,4.58055,19.6559,19.6559,0.995485,1,15.4329
5,374,894.452,4.58055,21.6544,21.6544,0.997768,1,17.4223
5,375,894.452,4.58055,23.3626,23.3626,0.998092,1,19.1228
5,376,894.452,4.58055,20.0197,20.0197,1,1,15.7951
5,377,894.452,4.58055,13.9086,13.9086,1,1,9.71179
5,378,894.452,4.58055,9.2724,9.2724,1,1,5.09669
5,379,894.452,4.58055,6.92887,6.92887,1,1,2.76384
5,380,894.452,4.58055,15.0204,15.0204,0.990994,1,10.8185
5,381,894.452,4.58055,23.1694,23.1694,0.990931,1,18.9305
5,382,894.452,4.58055,13.3113,13.3113,1,1,9.11722
5,383,894.452,4.58055,12.973,12.973,1,1,8.78048
5,384,894.452,4.58055,13.7435,13.7435,0.999139,1,9.54746
5,385,894.452,4.58055,15.7436,15.7436,0.997766,1,11.5384
5,386,894.452,4.58055,15.2226,15.2226,1,1,11.0198
5,387,894.452,4.58055,24.5521,24.5521,0.989624,1,20.3068
5,388,894.452,4.58055,32.2422,32.2422,0.991439,1,27.9619
5,389,894.452,4.58055,35.213,35.213,0.996684,1,30.9193
5,390,894.452,4.58055,36.6954,36.6954,0.998344,1,32.3949
5,391,894.452,4.58055,34.1613,34.1613,1,1,29.8724
5,392,894.452,4.58055,25.057,25.057,1,1,20.8094
5,393,894.452,4.58055,16.7905,16.7905,1,1,12.5806
5,394,894.452,4.58055,17.2111,17.2111,0.99953,1,12.9992
5,395,894.452,4.58055,10.3305,10.3305,1,1,6.15003
5,396,894.452,4.58055,19.3759,19.3759,0.989938,1,15.1542
5,397,894.452,4.58055,18.7167,18.7167,1,1,14.498
5,398,894.452,4.58055,17.9757,17.9757,1,1,13.7603
5,399,894.452,4.58055,25.6822,25.6822,0.991421,1,21.4319
5,400,894.452,4.58055,20.7603,20.7603,1,1,16.5324
5,401,894.452,4.58055,20.9723,20.9723,0.999763,1,16.7433
5,402,894.452,4.58055,27.9629,27.9629,0.992215,1,23.7021
5,403,894.452,4.58055,36.6482,36.6482,0.990337,1,32.3479
